question,metadata
How good can my baby see at 4 months?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-08 12:32:37.959733+00:00', 'id': 'qa_pairs/6nSiyYuh3L7mlgPX0Olt'}"
Can my baby see light at 18 weeks pregnant?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-06 18:46:18.998840+00:00', 'id': 'qa_pairs/90vCdSHYHp3Mm6HcpNKP'}"
What is considered as normal blood pressure?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-02-22 13:01:18.366380+00:00', 'id': 'qa_pairs/ZxhyzGMI73WM7OU0Ff2a'}"
How long does the baby have sensitive skin?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-03-17 17:56:12.598018+00:00', 'id': 'qa_pairs/9PjnbKmtGXdKxQWf7sjL'}"
What senses are babies experiencing at 4 months?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-31 22:48:45.206493+00:00', 'id': 'qa_pairs/iFC94roqNt0gE1z1Xxuc'}"
When should I stop breast feeding?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-04-29 15:11:54.180253+00:00', 'id': 'qa_pairs/xINEBehUhs3tFIUfAoDu'}"
When should I transition from formula to baby food?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-17 09:41:47.462679+00:00', 'id': 'qa_pairs/OLOE0Fnn4srvh5vtzm3i'}"
How often do I have to feed the baby?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-03-17 18:00:29.460207+00:00', 'id': 'qa_pairs/Y9zx6Rj3HwWrdSizVOAb'}"
What games can I play with my baby?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-01 09:38:50.013905+00:00', 'id': 'qa_pairs/z2oyU3qKfrwWs84ppROb'}"
Is better that my baby uses a pacifier or fingers?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-26 19:06:30.736536+00:00', 'id': 'qa_pairs/M91J4hURJmTEiM7PNVxf'}"
What is the best way to get my child to read?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-14 12:04:22.872835+00:00', 'id': 'qa_pairs/LwkgvcrIVRhfVTup1qfL'}"
Why doesn't my two year old communicate?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-07-10 12:42:49.500464+00:00', 'id': 'qa_pairs/jPFH46Z68yDpIyrTwjmp'}"
How do I know if my baby is allergic to something?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:40:20.665512+00:00', 'id': 'qa_pairs/Qt79sAIJCPQWtweUu2PY'}"
What are normal kick counts?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-15 17:23:53.071302+00:00', 'id': 'qa_pairs/wJJ1Ju91HVA7aLzcdhXu'}"
Is heartburn normal at 21 weeks of pregnancy?,"{'author_id': '7kVowZwKpPPOAuFrROE2pqMXg9t2', 'timestamp': '2023-11-13 09:42:23.920562+00:00', 'id': 'qa_pairs/E3VS4wZzTxBSqh2ZTfPA'}"
Can my babies knuckles crack?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-07 22:15:28.093897+00:00', 'id': 'qa_pairs/Umocx48d50JjNS5Y96ES'}"
How much of crying is normal for a baby?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-08 12:29:11.650482+00:00', 'id': 'qa_pairs/0BPROToYKKSpOJmHBspM'}"
