question,metadata
What makes a childcare center a good fit for my family?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-02-23 09:11:41.866406+00:00', 'id': 'qa_pairs/gjvu8MOYjbBndjh3Qgw0'}"
How long do growth spurts last?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-04-12 06:11:19.591005+00:00', 'id': 'qa_pairs/BGQ5dkXXvYMW1j3Slt8s'}"
How to get my baby to crawl?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-23 17:54:12.705366+00:00', 'id': 'qa_pairs/eUr1MmsLjqNFFKAz3MkJ'}"
Peeing more frequently is an indication for lightening?,"{'author_id': 'V88m8gxhi4aKTeNfKnw8fd1w0n53', 'timestamp': '2023-04-15 23:11:02.123309+00:00', 'id': 'qa_pairs/cZCNc73Rry0bzFnVv2VR'}"
Is swollen feet a sign of preeclampsia or just a sign for last trimester?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-02-12 13:05:38.372710+00:00', 'id': 'qa_pairs/U5aX52JYe7Y55YpFwSUj'}"
How to manage clogged milk ducts?,"{'author_id': '84ka1SZgxahTsy8lyty9TUPkJ5k1', 'timestamp': '2023-01-29 23:34:33.755630+00:00', 'id': 'qa_pairs/55q3gnt57osH3oRdf52b'}"
How long before my baby can roll over ?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-26 09:39:26.371721+00:00', 'id': 'qa_pairs/qBIsPUErxnp23VNYPy1f'}"
How can I help my toddler with being less stressed?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-31 13:52:22.460318+00:00', 'id': 'qa_pairs/E1ejFwlG5iKugNQOPdCc'}"
How do I know if I'm diluted or effaced?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-03-21 14:13:16.697971+00:00', 'id': 'qa_pairs/gMOs71qthzVzOwelWL1J'}"
Does the heartburn indicate that the baby grows hair in the womb?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-03-21 22:16:16.227418+00:00', 'id': 'qa_pairs/9CClGf5olpGMlx4qNiMR'}"
How do I clean an infants nose?,"{'author_id': '84ka1SZgxahTsy8lyty9TUPkJ5k1', 'timestamp': '2023-01-26 14:03:54.461965+00:00', 'id': 'qa_pairs/XTSZkGqml63nAoaSVMr0'}"
Why does my baby cry while sleeping?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-20 13:57:09.695796+00:00', 'id': 'qa_pairs/ejJnR4YEvzGjcjUVhZCi'}"
How much sleep do newborns need?,"{'author_id': '84ka1SZgxahTsy8lyty9TUPkJ5k1', 'timestamp': '2023-01-28 14:02:11.563764+00:00', 'id': 'qa_pairs/M2q3CYOQf9GW5F34cuGx'}"
What should I do if my baby flips over during sleep?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-26 19:08:40.469212+00:00', 'id': 'qa_pairs/8NuNhrfW5Gxakbsyj9vw'}"
How much food should I feed my 1 year old?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-11-11 10:42:47.736282+00:00', 'id': 'qa_pairs/5FygNl6Kkq5jOqAallUk'}"
What do babies learn in utero?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-01 09:39:15.571152+00:00', 'id': 'qa_pairs/PovDXYI4u0CHSVhBa7vV'}"
Will my baby start to sleep longer after 2 months?,"{'author_id': 'Dg8jLEmlpXZYkFP0vufjDaY1Zzi1', 'timestamp': '2023-11-14 11:32:58.120068+00:00', 'id': 'qa_pairs/h5FQC8wj3skQpJlWBdUU'}"
Is it normal for baby to move more in the 9th month?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-03-22 21:21:43.784770+00:00', 'id': 'qa_pairs/H9g8Kz12lMEXtgW2LWZ0'}"
How do I push the baby out?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-04-11 00:27:18.995156+00:00', 'id': 'qa_pairs/ubdACUpyMpYeJMjOdR2J'}"
