question,metadata
How tall is the newborn?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-02-27 21:54:05.198690+00:00', 'id': 'qa_pairs/Zg8KTswtU1s5SkAxBHRL'}"
How to lose baby weight after birth?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-18 09:24:50.717861+00:00', 'id': 'qa_pairs/HWOjS1ho6B8O62fyyclX'}"
Is the Covid vaccine safe for my six month old?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:40:08.906364+00:00', 'id': 'qa_pairs/qnJRm7Ve0kODvTg6kaAz'}"
Is a change in body temperature a sign of labor?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-03-13 13:48:05.611831+00:00', 'id': 'qa_pairs/kMo8zNneOJYxAm2ZEyAP'}"
When should I start looking for a Pediatrician?,"{'author_id': 'x97pqM9UltaNCFAPrF5yg1W5weA2', 'timestamp': '2023-10-28 21:20:58.531222+00:00', 'id': 'qa_pairs/sFBqFqkSvC0YxHfve76T'}"
How do babies feel emotions?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-18 00:01:02.772846+00:00', 'id': 'qa_pairs/BUl6p0tqW7ervnCo0jQW'}"
What should I do if my baby has a cold?,"{'author_id': 'PpUlhH3JiSgVx2YpEjA05SbJNdd2', 'timestamp': '2023-11-08 12:33:13.494593+00:00', 'id': 'qa_pairs/k3CNtqIT2wbTwcsaOiOD'}"
What is the advantage for not having an epidural during the labor?,"{'author_id': 'V88m8gxhi4aKTeNfKnw8fd1w0n53', 'timestamp': '2023-02-10 13:50:11.998102+00:00', 'id': 'qa_pairs/LRWV3bC4jfo6JY3d4Tcr'}"
Is it normal for baby to move more than usual when closer to due date?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-03-22 21:20:51.950745+00:00', 'id': 'qa_pairs/9RI9TizmWApHxqy2l7ea'}"
What does contractions feel like?,"{'author_id': 'x97pqM9UltaNCFAPrF5yg1W5weA2', 'timestamp': '2023-11-02 15:12:23.703355+00:00', 'id': 'qa_pairs/URRtvowqhw2Qs90waUb5'}"
What can I do about ligament pain?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-02-05 18:55:40.561966+00:00', 'id': 'qa_pairs/U5bvq15XwrmLrgkSiFm0'}"
When does breast milk dry out?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-17 00:33:25.627189+00:00', 'id': 'qa_pairs/05FAkhxBOJoP3EuMScol'}"
Why do I feel baby kicking in my pelvic area?,"{'author_id': '7kVowZwKpPPOAuFrROE2pqMXg9t2', 'timestamp': '2023-11-15 20:54:52.838860+00:00', 'id': 'qa_pairs/YAv6I3fTLYOCNc8BmAW2'}"
What is considered a fever for a baby?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:24:09.894607+00:00', 'id': 'qa_pairs/ItpMK1x0K5ycYfN2w4WL'}"
How do I help heartburn?,"{'author_id': 'zyvJwOwwJyg7sM19hoj9I9HQ74e2', 'timestamp': '2023-01-27 14:45:59.610988+00:00', 'id': 'qa_pairs/zltL1sJSXqPZI46aXzqw'}"
How can I know if my baby ate too much?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-08 12:30:27.841782+00:00', 'id': 'qa_pairs/0bsosNVVEjhuKy0zoEJz'}"
How do I give my baby their first bath?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-03-22 11:38:05.373246+00:00', 'id': 'qa_pairs/pQT2sDjwuZ0sXxEHjaNs'}"
Do babies breath heavily when they sleep?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-07-10 12:02:45.926291+00:00', 'id': 'qa_pairs/xV5Xn2ydX9N60bB1YzoC'}"
What is the best way to bathe a baby?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-23 09:06:03.596682+00:00', 'id': 'qa_pairs/ICpr53OrSc6cfaYp13re'}"
Should I wake up a baby at night to feed?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-07 00:10:38.800266+00:00', 'id': 'qa_pairs/DdJjFtpPrgDkzFuY8xnz'}"
What are important vaccines for my baby to have?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-23 09:07:03.428532+00:00', 'id': 'qa_pairs/2mC1KRqLI1Utm1m6wQLA'}"
What is the average size of a baby once born?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-26 16:24:24.985721+00:00', 'id': 'qa_pairs/DlgNtHekvTUA3xTEIpPi'}"
How much time does the formula last?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-26 18:15:58.885683+00:00', 'id': 'qa_pairs/oZGdGDGvUCCxL4VurKg0'}"
Is Vicks harmful for babies?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-31 09:38:18.632495+00:00', 'id': 'qa_pairs/uxebVX6hkJN3pH2jAivQ'}"
When to teach children to drink from cups?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-06-26 12:46:00.840895+00:00', 'id': 'qa_pairs/4t92bflhvXuscSuiR6gh'}"
Does intercourse help with labor?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:48:24.204420+00:00', 'id': 'qa_pairs/RzP0c8w2RQ4FALoTdKpJ'}"
What toothbrush brand should I use for a baby?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-11-11 10:44:00.086992+00:00', 'id': 'qa_pairs/413RJGUrlvGhkLQBEqG7'}"
