question,assumption,plausibility,veracity,evidence_source,evidence,evidence_source_link
,There are pros and cons to children having a phone.,5 (Very Plausible),TRUE,https://pubmed.ncbi.nlm.nih.gov/33486100/,"Experimental research reviewed herein suggests that the interactivity allowed by mobile devices has benefits over passive viewing (for example, of television) for young children's learning and self-regulation, but studies of naturalistic use suggest increased use of mobile devices is associated with poorer language and self-regulation",https://pubmed.ncbi.nlm.nih.gov/33486100/
Why is my hair falling?,Hair falling out may not be normal.,5 (Very Plausible),TRUE,"https://www.aad.org/public/diseases/hair-loss/insider/new-moms#:~:text=Many%20new%20moms%20see%20noticeable,caused%20by%20falling%20estrogen%20levels.","Many new moms experience excessive hair shedding after pregnancy. Hair shedding usually peaks about four months after giving birth. By their child's first birthday, most women regain their normal hair growth. If your hair does not regain its normal fullness after one year, you may want to see a dermatologist. Something else may be causing your hair to fall out. People lose hair for many reasons, and an accurate diagnosis is essential for effective treatment.","https://www.aad.org/public/diseases/hair-loss/insider/new-moms#:~:text=Many%20new%20moms%20see%20noticeable,caused%20by%20falling%20estrogen%20levels."
,"If hair is falling out, something might be wrong.",5 (Very Plausible),TRUE,https://my.clevelandclinic.org/health/diseases/23297-postpartum-hair-loss,"Talk with your provider if you continue to lose hair for more than six months. You might have another condition that causes hair loss, such as iron deficiency or thyroid disease.",https://my.clevelandclinic.org/health/diseases/23297-postpartum-hair-loss
,There might be a need to change how hair is handled to prevent it from falling out.,4,FALSE,https://my.clevelandclinic.org/health/diseases/23297-postpartum-hair-loss,"There's no treatment for postpartum hair loss, but these steps can help your hair feel fuller and prevent further hair loss and damage: choose a shampoo and conditioner that add volume, treat your hair with care, try a different hairstyle. ",https://my.clevelandclinic.org/health/diseases/23297-postpartum-hair-loss
,There is a certain amount of hair loss that is considered normal.,2,TRUE,"https://www.aad.org/public/diseases/hair-loss/insider/new-moms#:~:text=Many%20new%20moms%20see%20noticeable,caused%20by%20falling%20estrogen%20levels.",Many new moms see noticeable hair loss a few months after having a baby. This is normal — and it is not true hair loss. Dermatologists refer to this condition as excessive hair shedding. The excessive shedding is caused by falling estrogen levels,"https://www.aad.org/public/diseases/hair-loss/insider/new-moms#:~:text=Many%20new%20moms%20see%20noticeable,caused%20by%20falling%20estrogen%20levels."
,There may be times in life when increased hair loss is normal.,2,TRUE,"https://www.aad.org/public/diseases/hair-loss/insider/new-moms#:~:text=Many%20new%20moms%20see%20noticeable,caused%20by%20falling%20estrogen%20levels.",Many new moms experience excessive hair shedding after pregnancy. Hair shedding usually peaks about four months after giving birth.,"https://www.aad.org/public/diseases/hair-loss/insider/new-moms#:~:text=Many%20new%20moms%20see%20noticeable,caused%20by%20falling%20estrogen%20levels."
,There are common causes of increased hair loss.,2,TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3884776/,"Postpartum hair loss is commonplace, During the first weeks of postpartum, hairs enter telogen in a synchronous wave to reach about 30% in average after nine weeks. This explains the clinical observation that postpartum hair loss is experienced two to four months after childbirth. It usually continues for 6 to 24 weeks but rarely persists up to 15 months.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3884776/
,Increased hair loss might improve on its own.,3,TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3884776/,Postpartum hair loss from the scalp is diffuse but is accentuated along the anterior hair line. Virtually the whole hair is replaced after several weeks unless some other process unmasks female pattern alopecia.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3884776/
,There are treatments available for increased hair loss.,4,TRUE,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6322157/#:~:text=Mild%2Dto%2Dmoderate%20FPHL%20in,good%20results%20in%20many%20cases.","There is no treatment for Postpartum Hair Loss. Mild-to-moderate Female Pattern Hair Loss (FPHL) in women can be treated with oral antiandrogen therapies (cyproterone acetate and spironolactone) and/or topical minoxidil with good results in many cases. If used correctly, available medical treatments arrest the progression of the disease and reverse miniaturization in most patients with mild-to-moderate FPHL. Hair systems and surgery may be considered for selected cases of severe FPHL.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6322157/#:~:text=Mild%2Dto%2Dmoderate%20FPHL%20in,good%20results%20in%20many%20cases."
Is it common for a baby's hair to fallout?,A baby's hair falling out may be a normal part of the hair follicle cycle.,4,TRUE,https://www.healthychildren.org/English/health-issues/conditions/skin/Pages/Hair-Loss-Alopecia.aspx,Almost all newborns lose some or all of their hair. This is normal and to be expected. The baby hair falls out before the mature hair comes in. So hair loss occurring in the first six months of life is not a cause for concern. ,https://www.healthychildren.org/English/health-issues/conditions/skin/Pages/Hair-Loss-Alopecia.aspx
,The age of the baby may affect the amount of hair loss.,4,TRUE,https://www.healthychildren.org/English/health-issues/conditions/skin/Pages/Hair-Loss-Alopecia.aspx,"Many babies also lose hair on the back of the scalp at age four months as their hair grows at varying times and rates. In very rare cases, babies may be born with alopecia (hair loss), which can occur by itself or in association with certain abnormalities of the nails and the teeth. Later in childhood, hair loss may be due to medications, a scalp injury, or a medical or nutritional problem.",https://www.healthychildren.org/English/health-issues/conditions/skin/Pages/Hair-Loss-Alopecia.aspx
,There may be tests available to determine the reason for a baby's hair loss.,3,TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5522886/,"Tinea capitis is a common dermatophyte infection that primarily affects children, including infants. Differential diagnosis of tinea capitis includes AA and ACC. The presence of black dot hairs (broken hairs within the lesion), significant erythema and scaling, and posterior cervical lymphadenopathy all favor tinea capitis. Both a swab culture of the affected skin and a hair from the affected area should be submitted for fungal culture.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5522886/
,There may be treatments available for hair loss in a baby.,4,TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5522886/,"Tinea capitis is a common dermatophyte infection that primarily affects children, including infants. Patients can be successfully treated with oral antifungal medications (e.g., terbinafine and griseofulvin) plus antifungal shampoos such as ketoconazole 2% shampoo to prevent shedding. Many children under 1 year can be adequately treated with topical azoles alone.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5522886/
,Loss of hair in a baby may not always be a sign of a medical problem.,4,TRUE,https://www.healthychildren.org/English/health-issues/conditions/skin/Pages/Hair-Loss-Alopecia.aspx,"Very commonly, a baby loses her hair where she rubs her scalp against the mattress or as a result of a head banging habit. As she starts to move more and sit up or outgrow this head rubbing or banging behavior, this type of hair loss will correct itself.",https://www.healthychildren.org/English/health-issues/conditions/skin/Pages/Hair-Loss-Alopecia.aspx
,Not all babies are expected to have a lot of hair.,5 (Very Plausible),TRUE,https://www.seattlechildrens.org/conditions/a-z/hair-loss/,Newborns are born with varying amounts of hair.,https://www.seattlechildrens.org/conditions/a-z/hair-loss/
How many hours should a baby sleep?,Babies need a lot of sleep.,5 (Very Plausible),TRUE,https://www.hopkinsmedicine.org/health/wellness-and-prevention/newborn-sleep-patterns,"The average newborn sleeps much of the day and night, waking only for feedings every few hours. It is often hard for new parents to know how long and how often a newborn should sleep. ",https://www.hopkinsmedicine.org/health/wellness-and-prevention/newborn-sleep-patterns
,There is an ideal amount of sleep that does not vary from baby to baby.,5 (Very Plausible),TRUE,"https://jcsm.aasm.org/doi/10.5664/jcsm.5866#:~:text=Infants*%204%20months%20to%2012,basis%20to%20promote%20optimal%20health.",Infants* 4 months to 12 months should sleep 12 to 16 hours per 24 hours (including naps) on a regular basis to promote optimal health.,"https://jcsm.aasm.org/doi/10.5664/jcsm.5866#:~:text=Infants*%204%20months%20to%2012,basis%20to%20promote%20optimal%20health."
,The amount of sleep a baby needs differs from an adult.,5 (Very Plausible),TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6267703/,"sleep duration recommendations: newborns 14-17 hours, infants (4-11mos) 12-15 hours, adults 7-9 hours",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6267703/
,There is a normal average sleep time for babies.,5 (Very Plausible),TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4877308/,Infants* 4 months to 12 months should sleep 12 to 16 hours per 24 hours (including naps) on a regular basis to promote optimal health.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4877308/
,Too little sleep could lead to negative side effects.,5 (Very Plausible),TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6267703/,"Not getting enough sleep at night is generally associated with daytime sleepiness, daytime fatigue, depressed mood, poor daytime functioning, and other health and safety problems",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6267703/
,There can be consequences if a baby does not get enough sleep.,5 (Very Plausible),TRUE,"https://jcsm.aasm.org/doi/10.5664/jcsm.5866#:~:text=Infants*%204%20months%20to%2012,basis%20to%20promote%20optimal%20health.","Regularly sleeping fewer than the number of recommended hours is associated with attention, behavior, and learning problems. Insufficient sleep also increases the risk of accidents, injuries, hypertension, obesity, diabetes, and depression.","https://jcsm.aasm.org/doi/10.5664/jcsm.5866#:~:text=Infants*%204%20months%20to%2012,basis%20to%20promote%20optimal%20health."
"My baby has a diaper rash, what cream should I use?",Diaper rash requires treatment.,5 (Very Plausible),Unsure,https://kidshealth.org/en/parents/diaper-rash.html,"Diaper rash usually goes away within 2 to 3 days with home care, although it can last longer.",https://kidshealth.org/en/parents/diaper-rash.html
,There is a specific topical treatment for diaper rash.,5 (Very Plausible),TRUE,https://kidshealth.org/en/parents/diaper-rash.html,Creams and ointments containing zinc oxide or petroleum help to soothe skin and protect it from moisture. They should be smeared on thickly (like cake icing) at each diaper change.,https://kidshealth.org/en/parents/diaper-rash.html
,Diaper rash is caused by something.,5 (Very Plausible),TRUE,https://kidshealth.org/en/parents/diaper-rash.html,"Usually, diaper rash is the result of an irritation, infection, or allergy.",https://kidshealth.org/en/parents/diaper-rash.html
,There are different kinds of treatments for diaper rash.,4,TRUE,https://www.mayoclinic.org/diseases-conditions/diaper-rash/diagnosis-treatment/drc-20371641,"Generally, a diaper rash can be treated successfully at home with these practices: keep the diaper area clean and dry, rince the area with warm water, apply cream or oinment, increase airflow, breastmilk. Doctor prescriptions may include hydrocortozone cream, antifungal cream, antibiotics. ",https://www.mayoclinic.org/diseases-conditions/diaper-rash/diagnosis-treatment/drc-20371641
,Each type of treatment may have side effects.,4,TRUE,https://www.mayoclinic.org/drugs-supplements/zinc-oxide-topical-application-route/side-effects/drg-20075525?p=1,tell your doctor if you have ever had any unusual or allergic reaction to this medicine or any other medicines.,https://www.mayoclinic.org/drugs-supplements/zinc-oxide-topical-application-route/side-effects/drg-20075525?p=1
,There may be consequences if diaper rash is left untreated.,5 (Very Plausible),TRUE,"https://www.uptodate.com/contents/diaper-rash-in-infants-and-children-beyond-the-basics/print#:~:text=Yeast%20infection%20%E2%80%94%20Yeast%20(Candida),and%20flake%20(picture%203).","Yeast infection — Yeast (Candida) infections can develop if irritant dermatitis is not treated for more than a few days. Signs of yeast diaper dermatitis include dark red areas of skin with or without raised yellow, fluid-filled pustules that can rupture and flake (","https://www.uptodate.com/contents/diaper-rash-in-infants-and-children-beyond-the-basics/print#:~:text=Yeast%20infection%20%E2%80%94%20Yeast%20(Candida),and%20flake%20(picture%203)."
When is it time to push?,Pushing is necessary for the baby to come out.,5 (Very Plausible),FALSE,https://www.sciencedirect.com/science/article/pii/S0266613821001212,"it is the environment and the undisturbed nature of the birth that are crucial factors in the occurrence of the fetus ejection reflex. He depicts a situation in which there is no conscious, active pushing: the baby is effectively expelled from the mother's body. This is reflected in our narratives. Leah described how: “…baby came so quick, just after a few big breaths, and I didn't even feel like I needed to push, it was just so-, just like baby glided out.”",https://www.sciencedirect.com/science/article/pii/S0266613821001212
,There may be different philosophies regarding whether to push or not.,5 (Very Plausible),TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1804305/,"The “old way” of assisting women during second-stage labor typically involves pushing immediately at 10 cm regardless of whether the woman has an urge to push;. the best approach based on current evidence is to encourage the woman to do whatever comes naturally; for example, bearing down and holding it as long as she can, rather than insisting that she hold her breath for 10 to 15 seconds to the count of 10",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1804305/
,There may be potential harm to the baby or mother if pushing is done too early or too late.,4,TRUE,"https://www.mayoclinic.org/healthy-lifestyle/labor-and-delivery/in-depth/stages-of-labor/art-20046545#:~:text=If%20you%20want%20to%20push,your%20way%20through%20the%20contractions.","If you want to push but you're not fully dilated, your health care provider will ask you to hold back. Pushing too soon could make you tired and cause your cervix to swell, which might delay delivery. Pant or blow your way through the contractions.","https://www.mayoclinic.org/healthy-lifestyle/labor-and-delivery/in-depth/stages-of-labor/art-20046545#:~:text=If%20you%20want%20to%20push,your%20way%20through%20the%20contractions."
,There may be someone present during labor to guide and advise on when to push.,5 (Very Plausible),TRUE,"https://www.mayoclinic.org/healthy-lifestyle/labor-and-delivery/in-depth/stages-of-labor/art-20046545#:~:text=If%20you%20want%20to%20push,your%20way%20through%20the%20contractions.",Your health care provider will ask you to bear down during each contraction or tell you when to push. Or you might be asked to push when you feel the urge to do so.,"https://www.mayoclinic.org/healthy-lifestyle/labor-and-delivery/in-depth/stages-of-labor/art-20046545#:~:text=If%20you%20want%20to%20push,your%20way%20through%20the%20contractions."
Do you have tips on using a breast pump?,Using a breast pump may be hard and even scary.,5 (Very Plausible),TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6860131/,Experiences using a breast pump vary woman to woman and a key takeaway may be: A detailed clinical assessment of maternal experiences related to pumping could potentially improve the pumping experience and might lead to improve breastfeeding duration.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6860131/
,There are benefits to breastfeeding.,5 (Very Plausible),TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6860131/,"Breastfeeding prevents infectious and allergic disease throughout infancy, and breastfeeding for at least 12 months is recommended by the World Health Organization, the Centers for Disease Control and Prevention, and the American Academy of Pediatrics",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6860131/
,There are different kinds of breast pumps.,5 (Very Plausible),TRUE,https://www.fda.gov/medical-devices/breast-pumps/types-breast-pumps,"There are three major types of breast pumps: Manual, battery powered pumps, and electric. ",https://www.fda.gov/medical-devices/breast-pumps/types-breast-pumps
,It may be necessary to pump every day.,5 (Very Plausible),TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9546173/,"For parents who choose to exclusively pump, or pump in order to increase milk supply, it is important to empty the breasts effectively and efficiently. Parents are commonly told to pump at the same frequency as their infant would feed at the breast. In the newborn stage, a parents exclusively pumping would expect to pump 8-12 times daily. ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9546173/
,There are circumstances in which using a breast pump is beneficial.,5 (Very Plausible),TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3134520/,"With the improved electric pumps, women are able to express as much milk as their infants would remove in a comparable period of at-the-breast feeding. Thus, it is possible that this quiet revolution in milk expression could benefit mothers. To the extent that the longer period of feeding infants human milk documented in the IFPS II5 and suggested by the results of other studies represents a net increase in milk production",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3134520/
,There are tips and tricks that can make using a breast pump easier.,5 (Very Plausible),TRUE,https://my.clevelandclinic.org/health/articles/22106-lactation-consultant,"Lactation consultants can: Help you with your breast pump. This isn't always possible, especially if you see a lactation consultant in the hospital. A lactation consultant will look at your flange, the plastic piece that fits over your nipple. An improper fit can impact how much milk you pump.",https://my.clevelandclinic.org/health/articles/22106-lactation-consultant
,Using a breast pump may get easier over time.,5 (Very Plausible),TRUE,https://www.cdc.gov/nutrition/infantandtoddlernutrition/breastfeeding/pumping-breast-milk.html,"There are many reasons you might want to pump, hand express breast milk, or feed your baby pumped breast milk. Having expressed breast milk can allow your baby to drink your breast milk from a bottle. While it takes practice, skill, and coordination, it gets easier over time.",https://www.cdc.gov/nutrition/infantandtoddlernutrition/breastfeeding/pumping-breast-milk.html
Is it okay to wake up on right side?,There is a benefit to sleeping on the left side during pregnancy.,4,TRUE,https://www.sleepfoundation.org/pregnancy/pregnancy-sleep-positions,"Sleeping on the left side during pregnancy facilitates blood flow, ensuring that vital organs and the baby receive the nutrients and oxygen  This position also decreases the likelihood of swelling in the ankles and legs. Sleeping on the right side can put pressure on the liver, so it is not optimal. But experts generally agree that it is safe to sleep on the right side for short intervals.",https://www.sleepfoundation.org/pregnancy/pregnancy-sleep-positions
,There may be some evidence to support or dispute these benefits.,4,TRUE,"https://www.ncbi.nlm.nih.gov/books/NBK573947/#:~:text=Overall%2C%20the%20evidence%20suggests%20that,in%20both%20the%20primary%20studies",it was important to highlight that the evidence does not support the view that there is an increased likelihood of stillbirth associated with going to sleep on one's right side irrespective of the time of reporting compared to going to sleep on one's left side.,"https://www.ncbi.nlm.nih.gov/books/NBK573947/#:~:text=Overall%2C%20the%20evidence%20suggests%20that,in%20both%20the%20primary%20studies"
,There are some methods to maintain a left-sided sleeping position.,3,TRUE,https://www.sleepfoundation.org/pregnancy/pregnancy-sleep-positions,"You can place a pillow between your legs, against your lower back, or beneath your abdomen. You can also try a full-body pillow, many of which are designed specifically to support pregnant sleepers.",https://www.sleepfoundation.org/pregnancy/pregnancy-sleep-positions
,Gestational age may have an impact on sleep position.,3,TRUE,"https://www.ncbi.nlm.nih.gov/books/NBK573947/#:~:text=Overall%2C%20the%20evidence%20suggests%20that,in%20both%20the%20primary%20studies","Overall, the evidence suggests that there may be an increased risk of stillbirth after 28+0 weeks and babies being born small for gestational age (SGA) associated with going to sleep on one's back (in other words in the supine position) compared to going to sleep on one's left-hand side","https://www.ncbi.nlm.nih.gov/books/NBK573947/#:~:text=Overall%2C%20the%20evidence%20suggests%20that,in%20both%20the%20primary%20studies"
,It may be difficult to always sleep on the left side.,4,TRUE,https://www.sleepfoundation.org/pregnancy/pregnancy-sleep-positions,"Some pregnant people experience discomfort and dizziness while on their backs, so may be less inclined to sleep in that position. But many naturally gravitate to sleeping on their backs and may unintentionally end up in this position. In the second and third trimesters of pregnancy, people who wake up on their backs should simply return to their sides. ",https://www.sleepfoundation.org/pregnancy/pregnancy-sleep-positions
,There may be potential negative consequences if I accidentally roll over to the right side during sleep.,5 (Very Plausible),TRUE,https://www.sleepfoundation.org/pregnancy/pregnancy-sleep-positions,Sleeping on the right side can put pressure on the liver,https://www.sleepfoundation.org/pregnancy/pregnancy-sleep-positions
What are ways to destress a toddler?,Toddlers can experience stress.,5 (Very Plausible),TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10085063/,Researchers recognize that children as early as infancy experience stress and may suffer long-lasting consequences of stress,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10085063/
,There are signs that can indicate if a toddler is stressed.,5 (Very Plausible),TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10085063/,Emotional lability/temper tantrums; gastrointestinal symptoms; repetitive behaviors; increased fears; sleep disturbance; increased aggression,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10085063/
,There are common causes of stress in toddlers.,5 (Very Plausible),TRUE,"https://wapave.org/stress-children-ages-0-3/#:~:text=Relocations%2C%20divorce%2C%20new%20parental%20figures,to%20others%20in%20the%20home.","Relocations, divorce, new parental figures, new child in the house, loss of a family member, loss of a pet, etc. Anything within the family structure can cause stress to the child ages 0-3, especially if it causes stress to others in the home.","https://wapave.org/stress-children-ages-0-3/#:~:text=Relocations%2C%20divorce%2C%20new%20parental%20figures,to%20others%20in%20the%20home."
,Prolonged stress in a toddler may have harmful effects.,4,TRUE,Toxic Stress: How the Body's Response Can Harm a ...Nationwide Children's Hospitalhttps://www.nationwidechildrens.org › 2017/07 › toxi...,"Toxic stress results from adverse experiences that may be sustained for a long period of time. This type of stress can disrupt early brain development, compromise the functioning of important biological systems, and lead to long-term health problems",https://www.nationwidechildrens.org/family-resources-education/700childrens/2017/07/toxic-stress-how-the-bodys-response-can-harm-a-childs-development
,There are natural options to destress a toddler.,5 (Very Plausible),TRUE,https://www.healthychildren.org/English/family-life/power-of-play/Pages/the-power-of-play-how-fun-and-games-help-children-thrive.aspx,"In addition to boosting a child's health and development, play helps to build the safe, stable and nurturing relationships that buffer against toxic stress and build social-emotional resilience. The mutual joy and one-on-one interaction that happens during play can manage the body's stress response.",https://www.healthychildren.org/English/family-life/power-of-play/Pages/the-power-of-play-how-fun-and-games-help-children-thrive.aspx
,There are signs of stress in a toddler that may require contacting a pediatrician.,4,TRUE,https://www.aacap.org/AACAP/Families_and_Youth/Facts_for_Families/FFF-Guide/Temper_Tantrums-136.aspx?WebsiteKey=a2785385-0ccf-4047-b76a-64b4094ae07f,"Tantrums that involve aggression, harming oneself on purpose, not being able to calm down or that last longer than 25 minutes may be a sign of an underlying psychiatric disorder and should be assessed by a qualified mental health professional",https://www.aacap.org/AACAP/Families_and_Youth/Facts_for_Families/FFF-Guide/Temper_Tantrums-136.aspx?WebsiteKey=a2785385-0ccf-4047-b76a-64b4094ae07f
How can I help my baby when she gets heat rash?,Babies can develop heat rash.,5 (Very Plausible),TRUE,https://www.healthychildren.org/English/ages-stages/baby/bathing-skin-care/Pages/Heat-Rash.aspx,​Heat rash is seen most often in babies and young children.,https://www.healthychildren.org/English/ages-stages/baby/bathing-skin-care/Pages/Heat-Rash.aspx
,Heat rash may not resolve on its own and may require treatment.,4,TRUE,https://my.clevelandclinic.org/health/diseases/22440-heat-rashprickly-heat,"Once you start cooling your body down, a mild heat rash could go away within a day. On average, heat rashes last two to three days. More severe heat rashes can last up to a couple of weeks without treatment.",https://my.clevelandclinic.org/health/diseases/22440-heat-rashprickly-heat
,There are treatments available for heat rash.,4,TRUE,https://my.clevelandclinic.org/health/diseases/22440-heat-rashprickly-heat,"Depending on the severity of your heat rash, you can treat your rash at home by: keeping skin cool and dry, wearing cotton clothing, eliminating friction, using anti-itch cream, and using anti-fever medicines. ",https://my.clevelandclinic.org/health/diseases/22440-heat-rashprickly-heat
,Heat rash can be differentiated from other types of rashes.,5 (Very Plausible),TRUE,https://www.healthychildren.org/English/ages-stages/baby/bathing-skin-care/Pages/Heat-Rash.aspx,It is caused when the sweat gland openings become blocked. This results in little red bumps around the sweat duct openings.,https://www.healthychildren.org/English/ages-stages/baby/bathing-skin-care/Pages/Heat-Rash.aspx
,There are preventive measures that can be taken to avoid heat rash.,4,TRUE,https://my.clevelandclinic.org/health/diseases/22440-heat-rashprickly-heat#prevention,"You can prevent heat rashes by: wearing lightweight clothing,  staying in environments with air flow or air conditioning, keeping the body cool and dry, and staying hydrated. ",https://my.clevelandclinic.org/health/diseases/22440-heat-rashprickly-heat#prevention
When does babies start to crawl?,All babies eventually start crawling.,4,FALSE,https://www.healthychildren.org/English/ages-stages/baby/Pages/Movement-8-to-12-Months.aspx,"A few children never crawl. Instead, they use alternative methods, such as scooting on their bottoms or slithering on their stomachs. As long as your baby is coordinating each side of her body and using each arm and leg equally, there's no cause for concern.",https://www.healthychildren.org/English/ages-stages/baby/Pages/Movement-8-to-12-Months.aspx
,There is a normal timeframe for babies to start crawling.,5 (Very Plausible),TRUE,https://lovevery.com/community/blog/skills-stages/crawling/,"Developmental milestones are based on averages, and each child develops on their own unique timeline. While many babies begin crawling around 8 months of age on average, this skill can develop anywhere from 7 months to 11 months of age. If your 8-month-old is not crawling, they might just be taking a little longer to get the hang of it.",https://lovevery.com/community/blog/skills-stages/crawling/
