question,metadata,answer,sources
Does the placenta grow bigger as time goes on?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-03-09 08:20:09.038997+00:00', 'id': 'qa_pairs/6nmsQiBjj3hYRJL3ykx6'}","provides the baby with nutrients and oxygen, and removes toxins from the baby's blood. Your placenta grows along with your baby and your uterus during your pregnancy. Placentas under the 10th percentile can be dangerous for pregnancy and cause stillbirth or a small for gestational age baby. Having an excessively large placenta can happen to moms that have gestational diabetes.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3552215/, https://www.mayoclinic.org/healthy-lifestyle/pregnancy-week-by-week/in-depth/placenta/art-20044425, https://www.pennmedicine.org/news/news-blog/2016/january/the-placenta-our-least-underst"
How many shots does an infant get ?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-21 12:31:56.190875+00:00', 'id': 'qa_pairs/HUiViTrpw4TT8GuRq18I'}","Within their first year of life, most doctors recommend your baby get six series of shots. The first vaccines usually occur when your baby is in the hospital after birth, then at the 2 month appointment, 4 month, 6 month, 9 month, and 12 month. The Center for Disease Control and Prevention has a published vaccine schedule that lists each vaccine and at what age your child should get it. Some vaccines have to be given in a series, meaning your child has to get several iterations of the vaccine to gain immunity.",https://my.clevelandclinic.org/health/articles/11288-childhood-immunization-schedule;
How can I prevent my baby peeing through diaper?,"{'author_id': 'PpUlhH3JiSgVx2YpEjA05SbJNdd2', 'timestamp': '2023-11-03 12:59:29.811021+00:00', 'id': 'qa_pairs/OtfzTnQiZcB8q5JaWKJl'}","When changing your baby's diaper, it's important to have a good fit and wash your hands before and after. You should check and or change your baby's diaper at least every time you feed them and whenever your child indicates discomfort. It's important to make sure the diaper fits your baby well around their abdomen and legs with no gaps. Ensure the ruffles on around the legs are pulled out to keep a good seal. Sometimes it can help overnight to go up a diaper size or use overnight diapers.","https://www.cdc.gov/hygiene/childcare/childcare.html, https://nrckids.org/cfoc/database/3.2.1.3"
How do you know when your baby is full?,"{'author_id': 'x97pqM9UltaNCFAPrF5yg1W5weA2', 'timestamp': '2023-11-13 19:33:59.680951+00:00', 'id': 'qa_pairs/ynVzLONlk5gKeYz1cjhV'}","When feeding newborns, it's important to pay attention to their feeding cues. They may chew on their hands, turn their head side to side, open their mouth, and lick their lips to tell you they want to eat. Crying is a later sign of hunger. After they are full, you may notice them spitting up, unlatching from the breast or bottle, and appearing very relaxed. Hungry newborns typically have tightly fisted hands, and you may notice by the end of the feeding their hands are open and relaxed.",https://kidshealth.org/en/parents/feednewborn.html
What are the stages in an infants life?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-17 00:32:28.895226+00:00', 'id': 'qa_pairs/uJ39WvusL5u6FI6or4C8'}","The skills or ""firsts"" your baby has like smiling, rolling over, talking, and walking are referred to as developmental milestones. Each baby develops a little differently, and your provider will check in at your 2, 4, 6, and 9 month Well Baby Appointments about these milestones. In their first year, babies are growing rapidly physically, mentally, and emotionally. They are developing bonds, love and affection, and a sense of self.",https://www.cdc.gov/ncbddd/childdevelopment/positiveparenting/infants.html
How do you know if the baby is sunny side up?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-04-07 11:13:06.235681+00:00', 'id': 'qa_pairs/05FUGv3cDUtk4r12I2LA'}","The term ""sunny side up"" is referencing the most common malpresentation of babies at birth, which is known scientifically as occiput posterior positioning. That means that the back of the baby's head is to the back of mom's pelvis, and when they are born this way they will come out facing up instead of down. Babies born this way may require an assisted delivery, and in some cases an emergency cesarean section. It's important to keep repositioning during the labor process to encourage the baby to descend into the pelvis in a favorable position.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4436169/
What kind of instrument is good for my baby?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-26 19:04:07.385423+00:00', 'id': 'qa_pairs/iJ2vefT0C2OEbnbhjw9j'}","Music is important developmentally for kids, and studies have shown their brains look different after listening to music. Music can make you and your baby smarter and happier. Listening to and playing music release endorphins, the hormones that make you feel happy. Using any kind of hand held musical instrument helps babies develop fine motor skills, and as they get older, making a song or keeping a beat require multiple different areas of the brain at once.",https://www.unicef.org/parenting/child-development/baby-music-soundtrack-to-development
How do I know when I lose mucus plug ?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-03-30 17:29:15.055911+00:00', 'id': 'qa_pairs/eV5klJJenA9w2EZ2n6em'}","The mucus plug is a jelly, stringy like material that is a layer of protection to keep bacteria out of your uterus while you are pregnant. Some people lose their mucus plug as they reach the end of pregnancy. Although it may indicate that your body is preparing for labor, labor could still be weeks away. This is not a cause for concern or an indication that labor is imminent. If this happens to you and you are concerned, you may always call your provider for guidance specific to your pregnancy and medical history.",https://my.clevelandclinic.org/health/symptoms/21606-mucus-plug
When can I start giving my baby food?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-13 10:37:13.937458+00:00', 'id': 'qa_pairs/lyPP9bOtkrcvOZ2N1Sjh'}","Most experts recommend that babies are ready for foods around six months of age. Since all babies develop a little differently, it's important to consult your baby's doctor before making changes to their diet. Some indications your baby may be ready for food are good head and neck control, showing interest in food, and not immediately spitting food out. Once you introduce new foods to your baby, it's important to wait 3-5 days before introducing another so if any type of reaction occurs you are able to correlate what food may have caused it.",https://www.cdc.gov/nutrition/infantandtoddlernutrition/foods-and-drinks/when-to-introduce-solid-foods.html
How often do babies feet grow?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-10 01:19:48.403484+00:00', 'id': 'qa_pairs/SbGCornSGKJNQ4HzJuJZ'}","Research has shown that in the first 3 years of life, your child's feet will probably grow about three quarters of an inch every year. Up until age 4, research shows that your child may need a new size of shoe every four months. It's also important to know that each child is on their own growth curve, and your child could deviate from this general guidelines. It can be beneficial for your child to be barefoot while indoors when they are learning to walk, but is also important to have good fitting shoes to protect their feet when they are walking outside.","https://www.texasfootdoctor.org/blogs/item/215-timeline-for-children-s-foot-growth, https://pubmed.ncbi.nlm.nih.gov/6832663/"
How do you know if you're having contractions?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-03-06 19:31:01.034972+00:00', 'id': 'qa_pairs/Ai05zH31RCCsLGSPY0tQ'}","As you enter the second and third trimester, it's very common to have some mild contractions as your body prepares to give birth. Some women don't even notice these. As you go into labor, contractions get stronger and closer together. They will become so intense that generally you can't walk or talk when you're having them. Sometimes irregular contractions can happen if you are not drinking enough water or if you have been on your feet doing a lot of activities. If you are having mild contractions, your nurse or provider may advise you stay very well hydrated and take a break to see if the contractions stop or slow down.",https://www.marchofdimes.org/find-support/topics/birth/contractions-and-signs-labor
Can I give my 6 month old food?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-31 22:40:06.901080+00:00', 'id': 'qa_pairs/SpOJJKauSQaIukJlcNxM'}","Generally, around six months of age most babies are developmentally ready to start trying solid foods. Transitioning to solid foods takes time, and your baby is using their mouth, lips, and tongue in totally new ways. You should consult your child's pediatrician about making dietary changes and to see if they feel your baby is ready at six months. Some signs babies are ready for food besides breastmilk or formula are good head and neck control, showing interest in foods others are eating, and not spitting food out of their mouth immediately.",https://www.healthyparentshealthychildren.ca/im-a-parent/older-babies-6-12-months/feeding-starting-solid-foods/
Is it okay for babies to be in swimming clases?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-08 12:27:48.819692+00:00', 'id': 'qa_pairs/6dz3MG4Jarf4FULmmJ2S'}",One of the most important skills your baby will gain in their first few years is motor development. Studies have shown that there may be a link between increased motor development and babies who participate in swimming lessons. Swimming lessons may also help decrease the risk of drowning and improve deck behavior in kids. Classes that include both parents and the child are most beneficial for young children.,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9368508/, https://www.healthychildren.org/English/safety-prevention/at-play/Pages/Swim-Lessons.aspx"
How tall is the newborn?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-02-27 21:54:05.198690+00:00', 'id': 'qa_pairs/Zg8KTswtU1s5SkAxBHRL'}","Length or height is an important measurement that will help gauge your child's growth until they are possibly into their 20s. The average normal birth length for newborns is 19-20 inches. However, like any growth chart, it can also be normal to be a little smaller or a little bigger than this guideline. Babies who are born prematurely will usually be smaller as well. Term babies are those babies who are between 39 and 42 weeks gestation.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7575309/
How to lose baby weight after birth?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-18 09:24:50.717861+00:00', 'id': 'qa_pairs/HWOjS1ho6B8O62fyyclX'}","Healthy newborns are expected to lose between 7 and 10 percent of their birth weight. Generally, your pediatrician won't discharge your baby from the hospital if they have lost more than 10 percent, or a feeding plan and early follow-up appointment will be in place. Most newborns are back up to their birth weight by the time they are 2 weeks old. Newborns usually gain about 1 ounce or 30 grams a day for the first 30 days of life.",https://kidshealth.org/en/parents/grownewborn.html
Is the Covid vaccine safe for my six month old?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:40:08.906364+00:00', 'id': 'qa_pairs/qnJRm7Ve0kODvTg6kaAz'}","The Centers for Disease Control and Prevention recommend the COVID-19 vaccine for everyone six months and older. The COVID-19 vaccine is approved by the Food and Drug Administration for children and adults, verifying its safety. The benefits of receiving the vaccine outweigh the small risk of adverse reaction. People who receive the vaccine may experience normal side effects, similar to those of other vaccines, like a fever and localized swelling. It's safe for kids to get the COVID-19 vaccine on the same day they receive other routine vaccinations.",https://www.cdc.gov/vaccines/covid-19/planning/children/6-things-to-know.html
Is a change in body temperature a sign of labor?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-03-13 13:48:05.611831+00:00', 'id': 'qa_pairs/kMo8zNneOJYxAm2ZEyAP'}","Limited studies have shown that a woman's body temperature can slightly increase during labor. However, to keep track of your basal body temperature and be able to recognize this presents some challenges. To accurately take a basal body temperature, you must take your baseline temperature before getting out of bed in the morning and before making any movements. Pregnant women typically get up during the night to use the bathroom, and this can affect your circadian rhythm, which in turn can affect your basal body temperature. There are many other signs of labor that are more easily recognized.","https://pubmed.ncbi.nlm.nih.gov/18518872/, https://www.mayoclinic.org/tests-procedures/basal-body-temperature/about/pac-20393026"
When should I start looking for a Pediatrician?,"{'author_id': 'x97pqM9UltaNCFAPrF5yg1W5weA2', 'timestamp': '2023-10-28 21:20:58.531222+00:00', 'id': 'qa_pairs/sFBqFqkSvC0YxHfve76T'}","A good rule of thumb is to identify a pediatrician about three months before your baby is due. This way you have ample time to make your decision, and if you go into labor prematurely you have already identified your provider of choice. It is also smart to verify that the provide you choose is covered by your specific insurance. Please note that some hospitals may not discharge you from the hospital until you are able to schedule a 2-3 day follow up appointment for baby with their pediatrician.",https://kidshealth.org/en/parents/find-ped.html
How do babies feel emotions?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-18 00:01:02.772846+00:00', 'id': 'qa_pairs/BUl6p0tqW7ervnCo0jQW'}","Babies are expert observers and you may notice that by the time your baby is two months old, they will spend hours each day watching and listening to those around them. They learn that these people entertain them, soothe them, feed them, and make them comfortable. Babies between one to three months old will develop a social smile, enjoy playing, communicate more with their face and body, and imitate some facial expressions. Infants also can recognize emotional expressions in others after about six months of age.","https://www.healthychildren.org/English/ages-stages/baby/Pages/Emotional-and-Social-Development-Birth-to-3-Months.aspx, https://pubmed.ncbi.nlm.nih.gov/9794967/"
What should I do if my baby has a cold?,"{'author_id': 'PpUlhH3JiSgVx2YpEjA05SbJNdd2', 'timestamp': '2023-11-08 12:33:13.494593+00:00', 'id': 'qa_pairs/k3CNtqIT2wbTwcsaOiOD'}","If your baby has a cold, like with an adult, it's important to offer them plenty of fluids and ensure they have a normal amount of dirty and wet diapers. Ensure your baby is able to breathe clearly, and if needed utilize the bulb syringe if you can see mucus in their nose. Like in adults, the common cold has no cure and antibiotics are not effective. Generally, it will clear up in about 10 days. Unless your pediatrician has told you differently, over the counter medications are generally avoided in infants. If there temperature is above 100.4, call your provider or make an appointment. Your doctor will weigh your baby and can let you know what amount of Tylenol may be safe to give them to lower their temperature.",https://www.mayoclinic.org/diseases-conditions/common-cold-in-babies/diagnosis-treatment/drc-20351657
What is the advantage for not having an epidural during the labor?,"{'author_id': 'V88m8gxhi4aKTeNfKnw8fd1w0n53', 'timestamp': '2023-02-10 13:50:11.998102+00:00', 'id': 'qa_pairs/LRWV3bC4jfo6JY3d4Tcr'}","An epidural is the most common and effective method of providing pain relief during childbirth. Although the epidural may not take away all sensations (especially those pressure sensations), for many women they are very effective at getting rid of sharp pain. As with any medical procedure, there are small risks of side effects and complications. Side effects can include low blood pressure, itchy skin, and headaches. Rarely people may experience blood clots in the spine, infections, and nerve damage. Women who opt not to have an epidural will be able to get up and move around more quickly after their baby is born and are not at risk for these side effects.",https://www.yalemedicine.org/news/epidural-anesthesia
Is it normal for baby to move more than usual when closer to due date?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-03-22 21:20:51.950745+00:00', 'id': 'qa_pairs/9RI9TizmWApHxqy2l7ea'}","Kick counts are waiting for an hour and counting the baby's movements, or timing how long it takes for the baby to move 10 times. Fetal movement is a sign of well-being, and lets you know that your baby is not stressed. As your baby approaches the due date, you may actually notice that the movements aren't as dramatic and big. This is simply because your baby has less room to move. You may also notice your baby doesn't move as much during the day while you are up and moving, but you may notice when you lay down at night your little one is moving like crazy. It is always advisable to go to labor and delivery or the emergency room if you don't feel your baby moving or if you notice a big change in your baby's movements and something seems wrong.",https://my.clevelandclinic.org/health/articles/23497-kick-counts
What does contractions feel like?,"{'author_id': 'x97pqM9UltaNCFAPrF5yg1W5weA2', 'timestamp': '2023-11-02 15:12:23.703355+00:00', 'id': 'qa_pairs/URRtvowqhw2Qs90waUb5'}","When you first start having contractions when you are pregnant, you may not even notice you are having them. In the second and third trimester, it's common to have what are known as Braxton Hicks contractions. These are practice contractions that are helping your uterus prepare for labor. If you do feel them they may feel like tightening of your uterus, or even low back pain that is coming and going. Generally, these contractions aren't regular and they also may stop or change with activity. That is one way to distinguish them from labor contractions. Labor contractions gradually get stronger, and you may not be able to talk or walk while you are having one. Contractions also become much more intense when your water breaks, as you no longer have the cushion of amniotic fluid.",https://www.mayoclinic.org/healthy-lifestyle/labor-and-delivery/in-depth/stages-of-labor/art-20046545
What can I do about ligament pain?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-02-05 18:55:40.561966+00:00', 'id': 'qa_pairs/U5bvq15XwrmLrgkSiFm0'}","Unfortunately for the moms who experience it, round ligament pain is a normal and common symptom of pregnancy. If it is not your first pregnancy, you may notice the pain is worse, as your ligaments are more stretched than a first time mom. This pain generally gets worse throughout your second and third trimester as these ligaments stretch more to accommodate your growing uterus. Light stretching, taking a break to rest if the pain becomes intense, and wearing an elastic belly band for support are a few things you can do to help. You may also consult your provider to ensure that its safe, but generally you may also take Tylenol (acetaminophen) during pregnancy to help with some of these normal discomforts.",https://my.clevelandclinic.org/health/symptoms/21642-round-ligament-pain
When does breast milk dry out?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-17 00:33:25.627189+00:00', 'id': 'qa_pairs/05FAkhxBOJoP3EuMScol'}","Weaning is the process of your baby moving from breastfeeding to other sources of nourishment. Making the decision of when to wean is a personal one that includes many factors. One approach to weaning is to drop one feeding session per week until your child takes all the feeds from a bottle or cup. Another method is to leave the decision of when to wean up to the child; children who are eating three meals a day often breastfeed less and less. In that case, a mom's milk supply will gradually dry up from lack of demand.",https://kidshealth.org/en/parents/weaning.html
Why do I feel baby kicking in my pelvic area?,"{'author_id': '7kVowZwKpPPOAuFrROE2pqMXg9t2', 'timestamp': '2023-11-15 20:54:52.838860+00:00', 'id': 'qa_pairs/YAv6I3fTLYOCNc8BmAW2'}","As you grow closer and closer to your due date, your baby and uterus both may ""drop"" gradually. You may notice that instead of carrying your baby high, it may appear to be lower. This is because as you approach labor and delivery your baby descends into your pelvis. This is commonly referred to as dropping or lightening. If your baby is breech or feet down, you may very well feel kicking in this area. If your baby is head down, you may be feeling the movements of your baby's head and arms in that region.","https://my.clevelandclinic.org/health/articles/23497-kick-counts, https://www.unitypoint.org/news-and-articles/pregnancy-by-week-third-trimester"
What is considered a fever for a baby?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:24:09.894607+00:00', 'id': 'qa_pairs/ItpMK1x0K5ycYfN2w4WL'}","Depending on your baby's medical history, your provider may give you personalized information, but generally you should call your provider or go in to have your baby seen promptly if they have a rectal temperature of 100.4 or greater if your baby is under three months. If your baby is older than three months, seek care if their temperature is greater than 102.2. This advice may differ if your baby has a health problem like cancer or sickle cell disease.",https://kidshealth.org/en/parents/fever.html
How do I help heartburn?,"{'author_id': 'zyvJwOwwJyg7sM19hoj9I9HQ74e2', 'timestamp': '2023-01-27 14:45:59.610988+00:00', 'id': 'qa_pairs/zltL1sJSXqPZI46aXzqw'}","Heartburn is a common symptom of pregnancy, as your hormones relax your esophagus and food that is digesting can move back and forth. It may gradually worsen as your uterus expands and pushes the stomach up. If you are experiencing severe heartburn, you can discuss with your provider if an over the counter medication or prescription may be appropriate for you. Some things you can do to help with the intensity are avoiding foods that make it worse. Often this includes fatty foods, citrus, caffeine and carbonated beverages. Eating small meals throughout the day and drinking liquid between meals instead of with them can also help. Ensure you eat a few hours before laying down.",https://kidshealth.org/en/parents/heartburn.html
How can I know if my baby ate too much?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-08 12:30:27.841782+00:00', 'id': 'qa_pairs/0bsosNVVEjhuKy0zoEJz'}","On average, newborns drink about 1.5-3 ounces every 2-3 hours. This amount gradually increases as your baby grows and can eat more at each feeding. By two months, your baby may have 4-6 ounces every 3-4 hours. By six months, this may increase to 6-8 ounces 4-5 times a day. When bottle feeding your baby, give them a break to burp about every 1-2 ounces. Pay attention to the clues they give you that they may be full: sucking with less force, stopping, or turning away from the bottle. Keep in mind that due to their immature digestive tracts, it can be normal for them to spit up after feeding. If you are concerned about the amount or frequency that your baby spits up, consult your provider.",https://kidshealth.org/en/parents/formulafeed-often.html
How do I give my baby their first bath?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-03-22 11:38:05.373246+00:00', 'id': 'qa_pairs/pQT2sDjwuZ0sXxEHjaNs'}","Generally after 12-24 hours, if your baby has had a stable temperature, it is safe to give them their first bath. Keep in mind that until their umbilical cord falls off, they need sponge baths that keep their cord dry. Prepare your supplies ahead of time as your baby can get cold quickly. Start by washing your baby's face, and keep the body parts you aren't washing covered up by a warm towel. Always use touch supervision when bathing your baby - have all the supplies close enough that you are keeping a hand on them at all times.",https://www.healthychildren.org/English/ages-stages/baby/bathing-skin-care/Pages/Bathing-Your-Newborn.aspx
Do babies breath heavily when they sleep?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-07-10 12:02:45.926291+00:00', 'id': 'qa_pairs/xV5Xn2ydX9N60bB1YzoC'}","Newborns have very different sleep patterns than adults, and you may be surprised what a noisy sleeper your new family member is. Breathing while sleeping is often irregular, and may stop for 5-10 seconds followed by a period of rapid breathing until the cycle repeats. Kids usually outgrow this by the time they are about six months old. You may notice your baby is a noisy breather, which is caused by laryngomalacia or a floppy voice box. This condition will improve by the time your baby is one year old. If your baby is having trouble breathing, has blue skin or lips, feeding problems, or poor weight gain call the doctor right away.","https://www.healthychildren.org/English/ages-stages/baby/sleep/Pages/phases-of-sleep.aspx, https://healthier.stanfordchildrens.org/en/when-should-a-parent-be-concerned-with-a-babys-noisy-breathing/"
