question,metadata,answer,sources
What is a good lotion for baby skin?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-21 12:32:48.517052+00:00', 'id': 'qa_pairs/Kju9TJKHbe5cDJzZPrYk'}","You can use coconut oil or other foood-based oils, unscented lotion, petroleum jelly, or zinc-oxide based cream. Avoid baby oil and mineral oils. ","https://www.hopkinsmedicine.org/health/wellness-and-prevention/newborn-skin-101, https://www.chop.edu/health-resources/infant-massage-coconut-oil-and-lotion"
Does a baby get nightmares?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-25 09:40:06.892971+00:00', 'id': 'qa_pairs/9c4uWkV6aSIDRo4GyPmV'}","It's unlikely that babies have nightmares. Your baby may be crying out in the night for other reasons, such as neeeding a diaper change or being hungry. ",https://www.babysleep.com/sleep-advice/do-babies-have-nightmares/
Can babies sleep with a pillow?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-18 00:02:06.683559+00:00', 'id': 'qa_pairs/LABudQLSSMdbSkGD2bAZ'}","Babies should not sleep with pillows, blankets, or other soft objects. Doing so can increase the risk of sudden infant death. ","https://www.cdc.gov/sids/Parents-Caregivers.htm#:~:text=Creating%20a%20Safe%20Sleep%20Area%20for%20Babies&text=Keep%20soft%20bedding%20such%20as,or%20her%20chest%20feels%20hot."
How many times a day should my toddler have a glass of milk?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:55:50.308309+00:00', 'id': 'qa_pairs/JyEdEZn7pb8ZJHp5DGPT'}",Your toddler should drink 1 2/3 - 2 cups of milk a day under the age of 2 and 2-2.5 cups a day over the age of two in order to get enough calcium and Vitamin D. ,"https://ask.usda.gov/s/article/How-much-dairy-should-I-provide-for-my-child-under-the-age-of-two-How-much-milk-should-my-child-drin#:~:text=The%20amount%20of%20dairy%20foods,children%20and%20adolescents%209%2D18."
What feelings can babies feel?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:50:34.288179+00:00', 'id': 'qa_pairs/Bjji8BcltsfPq8dCEmUt'}","Infants (birth to 24 months of age) can express a wide range of basic emotions including: discomfort, pleasure, anger, fear, sadness and excitement. Infants are developing attachments to primary caregivers and may show some anxiety when separated from the important adults in their lives. Infants have strategies to comfort themselves (e.g. thumb sucking) which helps them recover from stressful situations. Infants are beginning to develop a sense of self as they become more aware of their ability to make things happen. Older infants will notice when someone else appears upset and may offer some sort of comfort.","https://ecampusontario.pressbooks.pub/childgrowthanddevelopment/chapter/7-emotional-development-in-infancy-and-toddlerhood/#:~:text=Infants%20(birth%20to%2024%20months,important%20adults%20in%20their%20lives."
What to do if my infant has an upset tummy?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-25 09:40:45.919461+00:00', 'id': 'qa_pairs/bluSn6NIGC7WcjBKPZnP'}",Let your infant rest and give them fluids and a bland diet. Do not push your child to eat if they are not hungry. Place a warm (not hot) water bottle on your child's stomach or run them a warm bath. Give a child's dose of acetaminophen if your child is in pain.,https://www.betterhealth.vic.gov.au/health/conditionsandtreatments/abdominal-pain-in-children
Is boiled tap water okay to use with formula?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-03 21:45:40.569003+00:00', 'id': 'qa_pairs/F99sko71b8ARkFESAxRB'}",You can use boiled tap water with powdered infant formula. Make sure the water has cooled to room temperature first by testing the water temperature. ,"https://www.cdc.gov/nutrition/infantandtoddlernutrition/formula-feeding/infant-formula-preparation-and-storage.html#:~:text=If%20you%20don't%20have,not%20burn%20your%20baby's%20mouth."
Do you have recommendations for free online baby classes?,"{'author_id': 'x97pqM9UltaNCFAPrF5yg1W5weA2', 'timestamp': '2023-10-27 15:10:26.380095+00:00', 'id': 'qa_pairs/dhqdmUvFB3xocSYgxjT6'}","Tummy Talks offers free, online prenatal classes facilitated by registered nurses experienced in maternal and newborn care. ",https://whasn.com/services/free-live-online-prenatal-classes/
How big is the uterus during week 19 of pregnancy?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-06 20:51:04.576761+00:00', 'id': 'qa_pairs/rSBKyc2zmVs6nM8t79iL'}",The distance from your pelvis bone to the top of your uterus should be 17-21 cenimeters at 19 weeks. It may be slightly larger if this is not your first pregnancy. ,https://americanpregnancy.org/healthy-pregnancy/pregnancy-health-wellness/uterus-size-during-pregnancy/
How long does it take for birth control to get out of your system?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:47:38.357613+00:00', 'id': 'qa_pairs/cDdC1actah53fGFvQbV1'}","Most people's menstrual cycles will return to normal within 1-3 months, but it may take up to a year before you are able to get pregnant. ","https://www.lancastergeneralhealth.org/health-hub-home/motherhood/getting-pregnant/when-to-stop-birth-control-before-trying-to-conceive#:~:text=Birth%20Control%20Pills,year%20of%20stopping%20the%20pill."
What should I expect in 30 weeks of pregnancy?,"{'author_id': 'V88m8gxhi4aKTeNfKnw8fd1w0n53', 'timestamp': '2023-02-16 10:05:05.317947+00:00', 'id': 'qa_pairs/aezA8pck3FkQFevRYfNM'}","It's probably more of an effort now to walk up the stairs without getting out of breath – that's because your baby is pushing against your lungs. Signs of pregnancy may also include: sleeping problems, stretch marks, swollen and bleeding gums, pains on the side of your baby bump, piles, headaches, backache, indigestion and heartburn, bloating and constipation, leg cramps, feeling hot, dizziness, swollen hands and feet, urine infections, vaginal infections, darkened skin on your face, greasier skin, and thicker or shinier hair. ",https://www.nhs.uk/start-for-life/pregnancy/week-by-week-guide-to-pregnancy/3rd-trimester/week-30/
How long do babies nurse per session?,"{'author_id': '84ka1SZgxahTsy8lyty9TUPkJ5k1', 'timestamp': '2023-03-07 08:21:57.769410+00:00', 'id': 'qa_pairs/4EHX5hXoTo8McA9SiT4V'}","For newborns, nursing may take 20-45 minutes. Feed on the first side until your baby stops sucking or your baby appears sleepy or relaxed. Then try the next breast. Babies will take less time as they grow older. ",https://www.sutterhealth.org/health/breastfeeding/how-often-to-breastfeed
Is sugar bad for toddlers?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-14 08:59:58.866511+00:00', 'id': 'qa_pairs/Yy1tLoFryvKfC3m5TzFx'}",You should avoid serving food or drinks with added sugar to toddlers under 2 years old. Kids 2 years and older should have no more than 6 teaspoons of added sugar a day. ,"https://publications.aap.org/aapnews/news/7331/Added-sugar-in-kids-diets-How-much-is-too-much#:~:text=The%20AAP%20offers%20the%20following,under%202%20years%20of%20age., https://health.clevelandclinic.org/what-to-do-when-your-child-eats-too-much-sugar/"
Can my baby hear songs In the womb ?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-14 08:55:37.943555+00:00', 'id': 'qa_pairs/uI9pn1ynI70TKY87fFmh'}","By 27-29 weeks, your fetus can hear most sounds in the womb. By the time they are full-term, they can hear at the same level as an adult.","https://www.healthychildren.org/English/tips-tools/ask-the-pediatrician/Pages/I%E2%80%99m-pregnant-and-would-like-to-sing-to-my-unborn-baby.aspx#:~:text=At%20around%2018%20weeks%20of,same%20level%20as%20an%20adult."
How many months after a missed period should I take a pregnancy test?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-14 22:46:38.119517+00:00', 'id': 'qa_pairs/AKYuA0SWX3LbDl4vivzp'}",You can take a pregnancy test as soon as you've missed a period. Pregnancy tests can happen as early as 10 days after conception. ,"https://my.clevelandclinic.org/health/diagnostics/9703-pregnancy-tests#:~:text=In%20many%20cases%2C%20you%20might,even%20if%20you're%20pregnant."
How old is a baby when he can sit up?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-05-07 16:18:40.004935+00:00', 'id': 'qa_pairs/ULdhZmAf9IIR8yQb7PFl'}",Your baby should be showing signs of sitting by 8 months. They will need to practice sitting to develop muscles strong enough to hold their head up and control their movements ,https://www.nhsinform.scot/ready-steady-baby/early-parenthood/your-baby-s-development-from-2-to-12-months/
How do you care for a tongue tie?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-04-06 09:02:17.794300+00:00', 'id': 'qa_pairs/fDj3SMpjLkBpW3YaUiFA'}","A tongue tie may resolve on its own. You can talk to a lactation consult or speech-language pathologist if it is causing issues with breastfeeding or speech. Surgical treatment, either a frenotomy or a frenuplasty, may be needed in some cases. ",https://www.mayoclinic.org/diseases-conditions/tongue-tie/diagnosis-treatment/drc-20378456
How many bottle feeds should my 4 month old get?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-19 20:24:06.569652+00:00', 'id': 'qa_pairs/Dvm6Vmd7JkZqN6yk6z5U'}",Your formula-fed baby should be fed every 3-4 hours. You may need to wake your baby to feed them. Babies will stop eating when they're full. ,"https://www.cdc.gov/nutrition/infantandtoddlernutrition/formula-feeding/how-much-how-often.html#:~:text=You%20can%20start%20by%20offering,12%20times%20in%2024%20hours."
When is a good time to bring my baby to a public pool?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-20 12:51:31.888544+00:00', 'id': 'qa_pairs/uCBp791g21IDveyP73Ps'}",Swimming lessons for children 1 year or older are important and reduce the risk of drowning. All children should learn to swim as soon as they are able to. Parents should guage their children's health concerns and water exposure to determine when to start swimming lessons. ,https://www.aap.org/en/news-room/news-releases/health--safety-tips/following-pandemic-shutdowns-aap-recommends-swim-lessons-for-children-to-prevent-drowning/
Is it normal to experience Braxton hicks at 30 weeks?,"{'author_id': 'pD2tc54dVWNk0aPu6InRQPIv8jA2', 'timestamp': '2023-11-13 21:09:54.385651+00:00', 'id': 'qa_pairs/Q8uxxaXJLJuykjYZJOFN'}","Braxton Hicks contractions can start as early as six weeks of gestation. If you feel signs of preterm labor, you should contact your medical provider. ","https://www.ncbi.nlm.nih.gov/books/NBK470546/#:~:text=Braxton%20Hicks%20contractions%20are%20sporadic,third%20trimester%20of%20the%20pregnancy."
What foods should I avoid when Brest feeding?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-17 00:34:35.736484+00:00', 'id': 'qa_pairs/uVkagEjeD0L2hp6VTMbu'}","You should avoid caffeine in drinks or chocolate, foods that may make you gassy like broccoli, fish with high levels of mercury like swordfish, garlic, peppermint, sage, and parsely. Experiment with other foods to see what your baby likes and what they don't. ",https://www.baptisthealth.com/blog/mother-and-baby-care/what-to-eat-what-not-to-eat-while-breastfeeding
Is Coffee during pregnancy safe?,"{'author_id': 'zyvJwOwwJyg7sM19hoj9I9HQ74e2', 'timestamp': '2023-01-27 15:15:43.544573+00:00', 'id': 'qa_pairs/FCHxIjS5rwaPoRXRW7tA'}","Caffeine should be limited during pregnancy. Caffeine is a stimulant, which increases your blood pressure and heart rate. It is also a diruetic, which can increase how often you urinate. Caffeine crosses the placenta and can disturb your baby's sleep patterns in utero. If you are going to drink coffee, limit it as much as possible or switch to decaf, which has very little caffeinie (but still 2-5 mg/cup). ",https://americanpregnancy.org/healthy-pregnancy/pregnancy-health-wellness/caffeine-intake-during-pregnancy/
How do I know if my baby is moving enough?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-03-08 12:45:06.155115+00:00', 'id': 'qa_pairs/qe3ShCwTYCZYyBLCPXdZ'}","You should feel about 10 kicks, flutters, swishes, or rolls from your baby over the course of two hours. If you do not, try again another time, as your baby may be sleeping or inactive. If you still can't feel them move, contact your healthcare provider. ",https://my.clevelandclinic.org/health/articles/23497-kick-counts
How big should my baby's head be at 6 months?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:27:24.971616+00:00', 'id': 'qa_pairs/aO6OTDDCgWWrXj6u2EPy'}",Your baby's had circumfrence should be about 44 cenimeters around six months after birth for males and about 42 cenimeters for females. Your doctor can measure your baby's head if you are concerned about abnormal head growth. ,https://www.cdc.gov/growthcharts/html_charts/hcageinf.htm
How many ounces of formula does a 6 month old need?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-03 21:46:19.855274+00:00', 'id': 'qa_pairs/wKpC1TAbsqPRdfUY1GQp'}","Your baby should eat 6-8 ounces of formula per feeding. You can introduce solid foods at 6 months, but the majority of the baby's calories should come from breastmilk, so do not reduce formula feeding unless your baby seems full. Your baby should not drink more than 32 ounces of formula per day. ",https://www.mountsinai.org/health-library/selfcare-instructions/feeding-patterns-and-diet-children-6-months-to-2-years
How many time should I shower my infant?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-17 00:28:17.978476+00:00', 'id': 'qa_pairs/V9q2jKo93uYr9qIYymkL'}","You should bathe a newborn about three times a week. Once they are more mobile, you may need to bathe them more often. If needed, clean your baby's face, thichs, groin, armpits, and chin with a wet washcloth. ","https://www.mayoclinic.org/healthy-lifestyle/infant-and-toddler-health/in-depth/healthy-baby/art-20044438#:~:text=There's%20no%20need%20to%20give,dry%20out%20your%20baby's%20skin."
Are swings good for babies?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-22 14:46:11.742379+00:00', 'id': 'qa_pairs/Bz4NHS1IrYO06VgWC91n'}","You should limit the amount of time your baby is in a swing. You should never let your baby sleep in a swing. If your baby falls asleep in a swing, move them to a horizontal surface. ","https://www.cdc.gov/ncbddd/childdevelopment/positiveparenting/infants.html#:~:text=Try%20not%20to%20keep%20your,media%20other%20than%20video%20chatting., https://publications.aap.org/aapnews/article/34/1/25/24388/Safe-and-sound-tips-for-using-infant-swings?autologincheck=redirected"
How many vaccines should my baby receive?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-08 12:34:17.850310+00:00', 'id': 'qa_pairs/cQ6JlLQvcPpXTBSOAD1w'}","Your baby will receive about 23 vaccines by the time they are 15 months old. They may receive more or less depending on maternal vaccinations and how closely they follow the vaccination schedule. Check with your child's pediatrician about the vaccination schedule. Your baby may be able to receive multiple vaccines on the same day, limiting how many times you have to go into the office for vaccinations. ",https://www.cdc.gov/vaccines/schedules/hcp/imz/child-adolescent.html#table-1
When will my baby start teething?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-18 09:20:10.390268+00:00', 'id': 'qa_pairs/IvUmCordcVssDeVRlhx9'}","Babies will start teething around 4-7 months old. By age 3, your baby will have around 20 baby teeth. Occasional symptoms of teething include mild irritability, a low-level fever, drooling, and an urge to chew something hard.","https://www.fda.gov/consumers/consumer-updates/safely-soothing-teething-pain-and-sensory-needs-babies-and-older-children#:~:text=On%20average%2C%20children%20begin%20teething,baby%20teeth%E2%80%9D%20by%20age%203."
What should my 3 week old baby be able to do?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-04-11 08:45:55.742551+00:00', 'id': 'qa_pairs/ktNS1cZsC1OFniORpIAw'}","Your three week old baby will cry when hungry or tired. Your baby can feel and may get overwhelmed. Your newborn can see at close range, but won't be able to process what they're seeing.",https://www.betterhealth.vic.gov.au/health/healthyliving/child-development-1-newborn-to-three-months
"Regression sleep 4 month, how many weeks last?","{'author_id': 'V88m8gxhi4aKTeNfKnw8fd1w0n53', 'timestamp': '2023-02-09 10:09:27.738772+00:00', 'id': 'qa_pairs/gyKqdau1u0NX9dIWoRc2'}","Multiple wake-ups, increased fussing and crying at uncommon times, or even fighting bedtime can happen in babies who had been sleeping soundly through the night. True sleep regressions are different from a few rough nights of sleep. In fact, they can last between 2 and 6 weeks. Not every baby deals with noticeable sleep regressions, and for babies that are tricky sleepers, you might not notice a difference at all! However, sleep regressions are incredibly common and something to prepare for.","https://www.lancastergeneralhealth.org/health-hub-home/motherhood/the-first-year/understanding-and-navigating-sleep-regressions#:~:text=Multiple%20wake%2Dups%2C%20increased%20fussing,between%202%20and%206%20weeks."
What cramps are considered normal during pregnancy?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-07 10:19:07.098387+00:00', 'id': 'qa_pairs/hHpUPIB6eFC2Y5VxnQXe'}","Cramping typically occurs when the uterus expands, causing the ligaments and muscles that support it to stretch. It may be more noticeable when you sneeze, cough, or change positions.During the second trimester, a common cause of cramping is round ligament pain. The round ligament is a muscle that supports the uterus, and when it stretches, you may feel a sharp, stabbing pain, or a dull ache in your lower abdomen. Cramping that is relatively minor and happens every now and then is probably nothing to be worried about.If you experience severe pain, lower abdominal pain accompanied by contractions, vaginal cramping, or crramping accompanied by pain in the shoulder or neck, contact your doctor right away. ","https://americanpregnancy.org/healthy-pregnancy/pregnancy-concerns/cramping-during-pregnancy/#:~:text=What%20Causes%20Cramps%20During%20Pregnancy,cramping%20is%20round%20ligament%20pain."
How can my baby learn to crawl?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-01 09:39:29.427992+00:00', 'id': 'qa_pairs/2ahHvwChEDjqZAt5O5e4'}","About half of babies begin crawling by keeping their belly against the floor. These children typically start crawling earlier than those who start out on hands and knees because belly crawling takes less strength and balance. On occasion, babies use this method of crawling right up until the moment they walk. Others move to criss-cross crawling before walking.Criss-cross crawling or hands and knees crawling requires limbs from opposite sides to coordinate with each other. A baby alternates arms and legs, getting the arm on one side to meet the floor at the same time the opposite leg does. Give your baby as much floor time as possible. Allow your baby to discover sitting and standing completely on her own. This way she will build strength and coordination necessary for crawling on hands and knees.Minimize holding or propping your baby upright to prevent her from developing excess muscle tension that makes crawling difficult.",https://thefnc.com/research/crawling-is-important-for-childhood-brain-development/
How many times should a newborn feed in a day?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-03-23 10:45:43.922072+00:00', 'id': 'qa_pairs/DLBXIPHpzGRWPluANP1a'}","Newborns will eat about every 2 to 4 hours. It may depend on the time of day and their sleep schedules. Look out for signs of hunger, like sucking, paying attention to your breasts, and fussiness. ","https://www.cdc.gov/nutrition/infantandtoddlernutrition/breastfeeding/how-much-and-how-often.html#:~:text=First%20Weeks%20and%20Months&text=On%20average%2C%20most%20exclusively%20breastfed,on%20the%20time%20of%20day., https://www.webmd.com/parenting/baby/baby-feeding-schedule"
How much should a baby weigh at 6 months?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:26:27.301214+00:00', 'id': 'qa_pairs/jqbLk9elThzVCKgYDDkj'}","Your baby should weight 6-10 kilograms at six months. Your baby should be weighed regularly at their pediatrician visits, and your pediatrician will tell you if your baby needs to eat more. If you are concerned about your baby's weight, ask a doctor for advice,",https://www.cdc.gov/growthcharts/html_charts/wtageinf.htm
How long should my toddler be in a booster seat?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-18 22:28:13.163488+00:00', 'id': 'qa_pairs/1MlcuZlBZsKT6gwstTfF'}","Your child under age 1 should always ride in a rear-facing car seat. Keep your child rear-facing as long as possible. It's the best way to keep him or her safe. Your child should remain in a rear-facing car seat until he or she reaches the top height or weight limit allowed by your car seat's manufacturer. Once your child outgrows the rear-facing car seat, your child is ready to travel in a forward-facing car seat with a harness and tether.",https://www.nhtsa.gov/equipment/car-seats-and-booster-seats
How do you know when a breast is out of milk?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-04-22 10:06:29.954979+00:00', 'id': 'qa_pairs/j6Aa7ZAPNIdYLTX7R2Ev'}","If you stop breastfeeding when your infant shows signs of being full, you may only empty out about 70% of the breastmilk available. You may notice your breasts feeling full, hard, and warm when your have lots of milk in your breasts, These feelings should subside as the breast is emptied.","https://www.ncbi.nlm.nih.gov/books/NBK539790/, https://www.cdc.gov/nutrition/infantandtoddlernutrition/breastfeeding/what-to-expect.html"
What play should I be doing with my baby at 7 weeks?,"{'author_id': 'YO2hy9uJCcf4YoA1cgQeLh6IqxY2', 'timestamp': '2023-11-10 05:20:11.357369+00:00', 'id': 'qa_pairs/Id8890nGjbuL1jIIXHgN'}","You can introduce your baby to interesting textures and colors, like putting fun ribbons on a spoon and dangling it in their face. You can take walks outside and describe things to your baby. You can also move their legs around and sing songs to them. Babies at this age are learning to interact with the world, and anything that interacts with their senses is important for them. ",https://www.gov.nl.ca/education/files/earlychildhood_everyday_i_learn_through_play.pdf
How long is breast milk good for?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-04-09 09:37:26.009582+00:00', 'id': 'qa_pairs/Mtljhep1MKRI9O9aFqlo'}","Breast milk is good for up to 4 hours at room temperature, for 4 days in the refrigerator, and up to 12 months in the freezer.","https://www.cdc.gov/breastfeeding/recommendations/handling_breastmilk.htm#:~:text=At%20room%20temperature%20(77%C2%B0,to%20follow%20for%20best%20quality."
