question,metadata,answer,sources
How can I help my baby when she gets heat rash?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-03-27 20:30:07.217286+00:00', 'id': 'qa_pairs/aY1gbOP4bIaquG4tX3GQ'}","Cool off the skin to treat and prevent heat rash. For large rashes, give your child a cool bath without soap. Do this for 10 minutes. For small rashes, put a cool, wet washcloth on the area. Dress in as few layers of clothing as you can. Lower the temperature in your home if you can.",https://www.seattlechildrens.org/conditions/a-z/heat-rash/
When does babies start to crawl?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-08-03 13:47:04.844469+00:00', 'id': 'qa_pairs/Q29EWvxzOmEiaugbEo1u'}",Babies usually start crawling between 7 and 12 months old.,"https://www.pregnancybirthbaby.org.au/learning-to-crawl#:~:text=Babies%20usually%20start%20crawling%20between,9%20months%2C%20though%20this%20varies."
Folic acid til which month?,"{'author_id': 'V88m8gxhi4aKTeNfKnw8fd1w0n53', 'timestamp': '2023-02-15 14:41:48.170603+00:00', 'id': 'qa_pairs/8WYYNWLOHQV0QgT0uDu6'}",Women who are pregnant or trying to become pregnant should get at least 400 micrograms (0.4 milligrams) of folic acid daily before conception and for at least 3 months afterward. Studies show that this greatly reduces a baby's risk of serious neural tube defects.,"https://kidshealth.org/en/parents/preg-folic-acid.html#:~:text=Women%20who%20are%20pregnant%20or,of%20serious%20neural%20tube%20defects."
What are the 6week old infant milestones?,"{'author_id': '84ka1SZgxahTsy8lyty9TUPkJ5k1', 'timestamp': '2023-01-29 10:45:25.472704+00:00', 'id': 'qa_pairs/F59i6AVo4pekamzbQSh3'}","A lot happens during your baby's first three months. Most babies reach certain milestones at similar ages, but infants take their own path as they develop. Expect your baby to grow and develop at your baby's own pace. Keep in mind that a baby born early, also called premature, may have a delay in some milestones. As you get to know your baby, think about these general infant development milestones.",https://www.mayoclinic.org/healthy-lifestyle/infant-and-toddler-health/in-depth/infant-development/art-20048012
How do I know if my baby is right handed?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:53:49.943535+00:00', 'id': 'qa_pairs/vbUHyQW6xneMq7cxeccS'}","Most children have a preference for using one hand or the other by the age of about 18 months, and are definitely right or left-handed by about the age of three. However, a recent UK study of unborn babies found that handedness might develop in utero.","https://www.betterhealth.vic.gov.au/health/healthyliving/left-handedness#:~:text=future%20hand%20preference.-,Most%20children%20have%20a%20preference%20for%20using%20one%20hand%20or,handedness%20might%20develop%20in%20utero."
What cough medicine is appropriate for breastfeeding mothers?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-03-26 08:46:04.833959+00:00', 'id': 'qa_pairs/DzrC4WCw5IlQL98R2qrI'}","For a dry cough, a cough suppressant such as pholcodine or dextromethorphan is considered safe while breastfeeding. A dry, irritating cough is usually associated with a postnasal drip.",https://www.thewomens.org.au/images/uploads/fact-sheets/Medicines-in-breastfeeding-151018.pdf
When should I start tummy time ?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-18 09:23:47.938375+00:00', 'id': 'qa_pairs/fy77tXf6NM62CeMUEn8R'}",Most babies can start tummy time sessions a day or two after they are born.,"https://safetosleep.nichd.nih.gov/reduce-risk/tummy-time#:~:text=Most%20babies%20can%20start%20tummy,regular%20sessions%20throughout%20the%20day."
How many calories do I need during pregnancy?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-06-15 10:49:57.147902+00:00', 'id': 'qa_pairs/VZ9UMQJJinZZDSL5CLDo'}","For most normal-weight pregnant women, the right amount of calories is: About 1,800 calories per day during the first trimester. About 2,200 calories per day during the second trimester. About 2,400 calories per day during the third trimester.","https://medlineplus.gov/ency/patientinstructions/000584.htm#:~:text=For%20most%20normal%2Dweight%20pregnant,day%20during%20the%20third%20trimester"
Are swimming classes okay for my 6 month old?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:25:28.839234+00:00', 'id': 'qa_pairs/UOArIZOTeN83LK5iyXXc'}",The AAP recommends swim lessons as a layer of protection against drowning that can begin for many children starting at age 1.,https://www.healthychildren.org/English/safety-prevention/at-play/Pages/Swim-Lessons.aspx
Which baby bottles are recommended by lactation consultants?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-07 18:43:06.101137+00:00', 'id': 'qa_pairs/F4ghJUGkTdB22he0got9'}","Lactation specialists can help women manage breast engorgement and comfortably decrease their milk supply. They can also answer questions and provide tips about bottle feeding, such as the best bottles or nipples to use for your baby's specific feeding needs. While there is not currently an endorsed standard for the most recommended bottle, the general rule is fed is best and finding the most appropriate bottle for your baby is best.","https://answers.childrenshospital.org/lactation-consultants/#:~:text=Lactation%20specialists%20can%20help%20women,your%20baby's%20specific%20feeding%20needs."
How can I push the baby out of my vaginal canal?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-04-11 00:27:53.883997+00:00', 'id': 'qa_pairs/fyUJDitc7GeqyDPIwhuJ'}","1. Push from your bottom, 2. Put your chin on your chest, 3. Use your contractions as your guide, 4. A mirror can be helpful, and 5. follow your instrincts.",https://www.lancastergeneralhealth.org/health-hub-home/motherhood/your-pregnancy/5-tips-for-pushing-during-childbirth
When should my baby start holding her own bottle ?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-02 10:00:17.673208+00:00', 'id': 'qa_pairs/XLLuz0zQUXDsO22Hrqve'}","Around 6-9 months, babies are able to hold their own bottle. However, as long as your child is using a bottle, you should never leave them alone to prevent choking and poor dental help. They always require supervision.  ",https://www.phoenixchildrens.org/files/inline-files/Always-Hold-the-Baby-Bottle-811.pdf https://www.healthychildren.org/English/ages-stages/baby/feeding-nutrition/Pages/Discontinuing-the-Bottle.aspx
How long will it take a baby to poop from breastfeeding?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-04-13 00:51:21.503722+00:00', 'id': 'qa_pairs/OQfkYECTyANSCsWy4OYN'}",Breastfed babies have an average of three bowel movements per day. It can also be normal for a breastfed baby to have a stool after each feeding or as little as once every seven days.,"https://www.unitypoint.org/news-and-articles/breastfeeding-poop-vs-formula-poop-whats-the-difference#:~:text=Breastfed%20babies%20have%20an%20average,as%20once%20every%20seven%20days."
How do you know if the baby has hair?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-03-21 22:16:39.112851+00:00', 'id': 'qa_pairs/X7WG1V66O5nCpeSBJn51'}","While there arent any dependable resources that address specifically and dependably how to know if your baby has hair, you could simply ask your trained ultrasound tech if they can help point it out to you during recommended ultrasound checks. ",https://www.cdc.gov/ncbddd/birthdefects/diagnosis.html
How old before my baby grows a tooth?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-31 09:38:56.740601+00:00', 'id': 'qa_pairs/MheSwvpoRgKEpLDl29ck'}","Between the ages of six to eight months, though each child is different and teeth may come earlier.","https://www.health.ny.gov/prevention/dental/birth_oral_health.htm#:~:text=6%2D12%20months%20of%20age,cavities)%20in%20infants%20and%20children."
Which kind of food to avoid during breastfeeding?,"{'author_id': 'V88m8gxhi4aKTeNfKnw8fd1w0n53', 'timestamp': '2023-03-14 19:58:44.328839+00:00', 'id': 'qa_pairs/KdDYXEmyXiZhNTp2AgdK'}",Women do not need to limit or avoid specific foods while breastfeeding.,"https://www.cdc.gov/breastfeeding/breastfeeding-special-circumstances/diet-and-micronutrients/maternal-diet.html#:~:text=Generally%2C%20women%20do%20not%20need,to%20restrict%20caffeine%20while%20breastfeeding."
What should I do about pregnancy fatigue?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-02-25 10:47:04.287299+00:00', 'id': 'qa_pairs/qUOQ1xoQutNdvYVf8ery'}","at well. Good nutrition and eating small, frequent, healthy meals can help. Take a break at work. You may feel sleepy at work. Go for a walk. When you can, go for a brisk walk around the block. Change your sleep habits. Drink enough fluids during the day.",https://www.urmc.rochester.edu/encyclopedia/content.aspx?contenttypeid=134&contentid=4
How do I treat a clogged milk duct?,"{'author_id': 'ImGEs6t6xFSHhLjSRbYmJyyjemN2', 'timestamp': '2023-04-17 19:37:26.661306+00:00', 'id': 'qa_pairs/8NmCjenCfQkwiB3U5cZv'}","Lightly massage your breast from the plugged duct down to the nipple before and during breastfeeding. Apply ice or cold packs to provide relief and reduce swelling. Breastfeed on demand and use different positions. Empty the affected breast first.",https://wicbreastfeeding.fns.usda.gov/plugged-ducts-mastitis-and-thrush
How many  vaccines should my baby get ?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:24:21.239921+00:00', 'id': 'qa_pairs/Ss452KcbCBvIUVE7HCVf'}","Your child needs shots at birth, 2, 4, 6, 12, 15 and 18 months of age.","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/immunization/Babies.aspx#:~:text=Your%20child%20needs%20shots%20at,But%20these%20diseases%20still%20exist."
What is a high temp for a baby?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-19 20:21:03.214726+00:00', 'id': 'qa_pairs/SL9n5WGm9vBsWmeVQvJH'}",Contact your child's provider or go to the emergency room if your child: Is younger than age 3 months and has a rectal temperature of 100.4°F (38°C) or higher. Is 3 to 12 months old and has a fever of 102.2°F (39°C) or higher. Is under age 2 and has a fever that lasts longer than 48 hours.,"https://www.mountsinai.org/health-library/selfcare-instructions/when-your-baby-or-infant-has-a-fever#:~:text=Also%2C%20contact%20your%20child's%20provider,lasts%20longer%20than%2048%20hours."
Why is my babies nose stuffy every morning?,"{'author_id': '84ka1SZgxahTsy8lyty9TUPkJ5k1', 'timestamp': '2023-03-09 05:33:20.330499+00:00', 'id': 'qa_pairs/vWU9oVaES6HGM79rPuVu'}","An occasional sneeze or stuffy nose usually isn't a sign of a problem. But if these happen often, they could mean the baby has a cold or other health problem. Call your baby's healthcare provider if congestion persists. ","https://www.saintlukeskc.org/health-library/stuffy-nose-sneezing-and-hiccups-newborns#:~:text=An%20occasional%20sneeze%20or%20stuffy,Coughs"
When do babies start speaking?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-22 12:21:37.956431+00:00', 'id': 'qa_pairs/gEJHQP8AYNbzRlgrqoza'}","Per ASHA, babies begin making sounds immediately following birth and are expected to produce true words at about 10 months. ",https://www.asha.org/public/developmental-milestones/communication-milestones-birth-to-1-year/
How many times a week can I shower my baby?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-18 00:03:11.782644+00:00', 'id': 'qa_pairs/2L4UEq4rBEEXFuneqL3q'}",Three times a week might be enough until your baby becomes more mobile.,"https://www.mayoclinic.org/healthy-lifestyle/infant-and-toddler-health/in-depth/healthy-baby/art-20044438#:~:text=Three%20times%20a%20week%20might,face%2C%20neck%20and%20diaper%20area."
How good can my baby see at 4 months?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-08 12:32:37.959733+00:00', 'id': 'qa_pairs/6nSiyYuh3L7mlgPX0Olt'}",Babies this age can see much farther away (several feet) than just a few months ago. They can usually focus without going cross-eyed and can tell the difference between different colors.,"https://kidshealth.org/en/parents/sense47m.html#:~:text=Babies%20this%20age%20can%20see,more%20aware%20of%20the%20environment."
Can my baby see light at 18 weeks pregnant?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-06 18:46:18.998840+00:00', 'id': 'qa_pairs/90vCdSHYHp3Mm6HcpNKP'}","During pregnancy, your baby's eyes develop well enough to perceive light, shapes, and even some colour.",https://www.babycentre.co.uk/a25040510/fetal-development-your-babys-eyes-and-sight
What is considered as normal blood pressure?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-02-22 13:01:18.366380+00:00', 'id': 'qa_pairs/ZxhyzGMI73WM7OU0Ff2a'}","Baby: Blood pressure rises as the baby grows. The average blood pressure in a newborn is 64/41. The average blood pressure in a child 1 month through 2 years old is 95/58. Mom during pregnancy: According to the American Heart Association (AHA) , a normal blood pressure reading is 120/80 mm Hg and below.","https://medlineplus.gov/ency/article/007329.htm#:~:text=Blood%20pressure%20rises%20as%20the,years%20old%20is%2095%2F58."
How long does the baby have sensitive skin?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-03-17 17:56:12.598018+00:00', 'id': 'qa_pairs/9PjnbKmtGXdKxQWf7sjL'}","Two years after birth, the barrier properties of infant and child skin closely resemble those of adult skin.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8880311/
What senses are babies experiencing at 4 months?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-31 22:48:45.206493+00:00', 'id': 'qa_pairs/iFC94roqNt0gE1z1Xxuc'}","Babies this age are honing all five senses, understanding and learning more and more from what they see, hear, and feel.","https://kidshealth.org/en/parents/sense47m.html#:~:text=Babies%20this%20age%20are%20honing,see%2C%20hear%2C%20and%20feel."
When should I stop breast feeding?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-04-29 15:11:54.180253+00:00', 'id': 'qa_pairs/xINEBehUhs3tFIUfAoDu'}","The World Health Organization recommends that all babies be exclusively breastfed for 6 months, then gradually introduced to appropriate foods after 6 months while continuing to breastfeed for 2 years or beyond. Stopping breastfeeding is called weaning. It is up to you and your baby to decide when the time is right.","https://www.betterhealth.vic.gov.au/health/healthyliving/breastfeeding-deciding-when-to-stop#:~:text=The%20World%20Health%20Organization%20recommends,when%20the%20time%20is%20right."
When should I transition from formula to baby food?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-01-17 09:41:47.462679+00:00', 'id': 'qa_pairs/OLOE0Fnn4srvh5vtzm3i'}",The Dietary Guidelines for Americans and the American Academy of Pediatrics recommend children be introduced to foods other than breast milk or infant formula when they are about 6 months old. Introducing foods before 4 months old is not recommended. Every child is different.,"https://www.cdc.gov/nutrition/infantandtoddlernutrition/foods-and-drinks/when-to-introduce-solid-foods.html#:~:text=The%20Dietary%20Guidelines%20for%20Americans,Every%20child%20is%20different."
How often do I have to feed the baby?,"{'author_id': 'nbKQFwfg8HZd2UaSRY2VrWqjRk93', 'timestamp': '2023-03-17 18:00:29.460207+00:00', 'id': 'qa_pairs/Y9zx6Rj3HwWrdSizVOAb'}","First Weeks and Months. On average, most exclusively breastfed babies will feed about every 2 to 4 hours. Some babies may feed as often as every hour at times, often called cluster feeding. Or may have a longer sleep interval of 4 to 5 hours. How often your baby feeds might change depending on the time of day. Formula: You can start by offering your baby 1 to 2 ounces of infant formula every 2 to 3 hours in the first days of life if your baby is only getting infant formula and no breast milk. Give your baby more if he or she is showing signs of hunger. Most infant formula-fed newborns will feed 8 to 12 times in 24 hours.","[https://www.cdc.gov/nutrition/infantandtoddlernutrition/breastfeeding/how-much-and-how-often.html#:~:text=First%20Weeks%20and%20Months&text=On%20average%2C%20most%20exclusively%20breastfed,on%20the%20time%20of%20day.] [https://www.cdc.gov/nutrition/infantandtoddlernutrition/formula-feeding/how-much-how-often.html#:~:text=You%20can%20start%20by%20offering,12%20times%20in%2024%20hours.]"
What games can I play with my baby?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-01 09:38:50.013905+00:00', 'id': 'qa_pairs/z2oyU3qKfrwWs84ppROb'}","Play baby games, such as peek-a-boo, to stimulate communication and help infants realize that after people disappear, they can come back. Support verbal interaction through cooing and babbling. Encourage infants to continue exploratory efforts through smiles and applause for attempts at any new skills.",https://www.alabamapublichealth.gov/healthystart/assets/physicalactivitypresentation.pdf
Is better that my baby uses a pacifier or fingers?,"{'author_id': 'AEd3HmAgg0Vp4Bj4NjgsMEuWC2h1', 'timestamp': '2023-01-26 19:06:30.736536+00:00', 'id': 'qa_pairs/M91J4hURJmTEiM7PNVxf'}","So far, research does not show that one is preferable over the other. There are pros and cons to both. Each child is different. ",https://myhealth.alberta.ca/Health/Pages/conditions.aspx?hwid=ta1927&lang=en-ca
What is the best way to get my child to read?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-14 12:04:22.872835+00:00', 'id': 'qa_pairs/LwkgvcrIVRhfVTup1qfL'}","Reading Rockets is a wonderful resource for reading throughout your childs development. They offer tips on how to get your baby and child to start reading as young as possible by talking to them daily, cuddling up with a baby friendly book, and many more. (offer physical resource)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.readingrockets.org/sites/default/files/2023-05/RR_tips_babies.pdf
Why doesn't my two year old communicate?,"{'author_id': 'l3eCwZbbUNTonTWXrUayZ2no5C93', 'timestamp': '2023-07-10 12:42:49.500464+00:00', 'id': 'qa_pairs/jPFH46Z68yDpIyrTwjmp'}",A delay using words or talking can be an early sign of other issues. Your toddler's provider can refer you to health professionals who test children for these issues.,https://www.mayoclinic.org/healthy-lifestyle/infant-and-toddler-health/expert-answers/toddler-speech-development/faq-20057847
How do I know if my baby is allergic to something?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-04-11 19:40:20.665512+00:00', 'id': 'qa_pairs/Qt79sAIJCPQWtweUu2PY'}","How to tell if your child has a food allergy: sneezing, a runny or blocked nose, red, itchy, watery eyes, wheezing and coughing, a red, itchy rash, and worsening of asthma or eczema symptoms.",https://www.nhs.uk/conditions/baby/weaning-and-feeding/food-allergies-in-babies-and-young-children/
What are normal kick counts?,"{'author_id': 'oxOOrt2CHOXCIRLBMH7a5tx9kWI3', 'timestamp': '2023-11-15 17:23:53.071302+00:00', 'id': 'qa_pairs/wJJ1Ju91HVA7aLzcdhXu'}",A healthy baby usually kicks at least 10 times per hour.,"https://www.lancastergeneralhealth.org/health-hub-home/motherhood/your-pregnancy/how-to-count-kicks-during-your-pregnancy#:~:text=A%20healthy%20baby%20usually%20kicks,you%20feel%20your%20baby%20moving."
Is heartburn normal at 21 weeks of pregnancy?,"{'author_id': '7kVowZwKpPPOAuFrROE2pqMXg9t2', 'timestamp': '2023-11-13 09:42:23.920562+00:00', 'id': 'qa_pairs/E3VS4wZzTxBSqh2ZTfPA'}",Indigestion (dyspepsia) and heartburn are very common throughout pregnancy.,https://www.pregnancybirthbaby.org.au/indigestion-and-heartburn-in-pregnancy
Can my babies knuckles crack?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-03-07 22:15:28.093897+00:00', 'id': 'qa_pairs/Umocx48d50JjNS5Y96ES'}","It is normal for babies to produce popping or cracking sounds, especially in joints such as the shoulders, elbows, wrists, and knees. This occurs due to the flexibility of their ligaments and tendons, which tighten and loosen as they move in certain ways. It is also due to the rapid growth and development of their bone and joint structure.",https://sleepbaby.org/can-babies-joints-pop-in-the-womb/
How much of crying is normal for a baby?,"{'author_id': '4dBCvEXfbGh0LsBXdM0xVVsFJwh1', 'timestamp': '2023-02-08 12:29:11.650482+00:00', 'id': 'qa_pairs/0BPROToYKKSpOJmHBspM'}",It's normal for a baby to cry for 2–3 hours a day for the first 6 weeks.,"https://kidshealth.org/en/parents/babies-cry.html#:~:text=All%20newborns%20cry%20and%20get,life%20with%20their%20little%20one."
